NationalitÃ©;Club;championnat ;Nom;Position;Note;VIT;TIR;PAS;DRI;DEF;PHY
Espagne;RCD Majorque;La Liga;#2309 Manu Morlanes;2309;74;67;64;75;73;69;68
Cameroun;OM;Ligue 1;#2309 Faris Pemi Moumbagna;2309;74;89;72;57;68;29;81
Allemagne;VfL Wolfsburg;Bundesliga;#2309 Marius MÃ¼ller;2309;74;75;71;59;78;30;75
Espagne;Real Sociedad;La Liga;#2309 Aihen MuÃ±oz;2309;74;77;54;69;73;72;70
Espagne;UD Las Palmas;La Liga;#2309 Javi MuÃ±oz;2309;74;72;65;71;73;65;78
Espagne;UD Las Palmas;La Liga;#2309 Alex MuÃ±oz;2309;74;78;67;63;63;74;81
Panama;OM;Ligue 1;#2309 Amir Murillo;2309;74;82;57;68;71;69;73
Autriche;1. FSV Mainz 05;Bundesliga;#2309 Phillipp Mwene;2309;74;80;54;66;75;68;69
Japon;Stade de Reims;Ligue 1;#2309 Keito Nakamura;2309;74;77;72;70;76;41;69
Allemagne;M'gladbach;Bundesliga;#2309 Luca Netz;2309;74;77;48;69;72;71;66
France;Montpellier;Ligue 1;#2309 Arnaud Nordin;2309;74;81;71;70;76;37;56
Ghana;OL;Ligue 1;#2309 Ernest Nuamah;2309;74;85;67;63;79;24;62
BrÃ©sil;SSC Napoli;Serie A;#2309 Juan Jesus;2309;74;60;33;51;60;76;71
RÃ©p. d'Irlande;Ipswich Town;Premier League;#2309 Dara O'Shea;2309;74;67;33;55;58;75;76
Nigeria;Udinese;Serie A;#2309 Maduka Okoye;2309;74;73;72;68;78;24;74
Kenya;Stade de Reims;Ligue 1;#2309 Joseph Okumu;2309;74;78;41;56;63;73;77
BrÃ©sil;VfL Wolfsburg;Bundesliga;#2309 RogÃ©rio;2309;74;75;53;68;76;70;59
SuÃ¨de;Aston Villa;Premier League;#2309 Robin Olsen;2309;74;74;70;76;74;35;76
CÃ´te d'Ivoire;Havre AC;Ligue 1;#2309 Christopher Operi;2309;74;77;61;69;72;68;71
Nigeria;OL;Ligue 1;#2309 Gift Orban;2309;74;77;79;62;73;18;62
Ukraine;VfL Bochum 1848;Bundesliga;#2309 Ivan Ordets;2309;74;54;53;49;46;75;80
Allemagne;SC Freiburg;Bundesliga;#2309 Patrick Osterhage;2309;74;76;60;68;73;72;75
Burkina Faso;AFC Bournemouth;Premier League;#2309 Dango Ouattara;2309;74;85;68;65;77;47;57
France;Real Betis;La Liga;#2309 Romain Perraud;2309;74;69;72;73;74;71;71
Allemagne;SV Werder Bremen;Bundesliga;#2309 Amos Pieper;2309;74;63;32;52;52;77;75
Italie;Bologne;Serie A;#2309 Tommaso Pobega;2309;74;74;76;71;75;75;78
Autriche;TSG Hoffenheim;Bundesliga;#2309 Alexander Prass;2309;74;82;65;73;75;69;76
Italie;Fiorentina;Serie A;#2309 Luca Ranieri;2309;74;70;41;59;68;77;63
Allemagne;M'gladbach;Bundesliga;#2309 Rocco Reitz;2309;74;73;68;70;76;71;65
Kosovo;FC Augsburg;Bundesliga;#2309 Elvis RexhbeÃ§aj;2309;74;59;66;71;74;68;74
Suisse;VfB Stuttgart;Bundesliga;#2309 Fabian Rieder;2309;74;73;69;71;75;51;63
Espagne;CD LeganÃ©s;La Liga;#2309 Ã“scar;2309;74;56;76;76;74;58;54
France;CD LeganÃ©s;La Liga;#2309 Valentin Rosier;2309;74;83;52;67;73;70;76
France;Union Berlin;Bundesliga;#2309 JÃ©rÃ´me Roussillon;2309;74;80;65;69;74;71;74
Maroc;LOSC Lille;Ligue 1;#2309 Osame Sahraoui;2309;74;81;60;66;80;45;54
Mali;TSG Hoffenheim;Bundesliga;#2309 DiadiÃ© SamassÃ©kou;2309;74;59;49;61;71;74;72
Espagne;Real Valladolid;La Liga;#2309 Javi SÃ¡nchez;2309;74;68;56;55;61;74;76
Espagne;D. AlavÃ©s;La Liga;#2309 Manu SÃ¡nchez;2309;74;73;44;62;68;72;60
Italie;Lecce;Serie A;#2309 Nicola Sansone;2309;74;71;71;70;78;44;54
GÃ©orgie;Empoli;Serie A;#2309 Saba Sazonov;2309;74;63;40;58;61;74;75
Ã‰tats-Unis;M'gladbach;Bundesliga;#2309 Joe Scally;2309;74;74;49;64;71;71;72
Hongrie;Union Berlin;Bundesliga;#2309 AndrÃ¡s SchÃ¤fer;2309;74;74;62;69;75;65;66
Angleterre;AFC Bournemouth;Premier League;#2309 Alex Scott;2309;74;73;62;73;79;65;68
Ghana;Stade Rennais FC;Ligue 1;#2309 Alidu Seidu;2309;74;58;43;61;70;75;67
Angleterre;Fulham;Premier League;#2309 Ryan Sessegnon;2309;74;77;64;72;76;71;64
SÃ©nÃ©gal;Stade Brestois 29;Ligue 1;#2309 Abdallah Sima;2309;74;89;73;66;72;41;72
Mali;VfL Bochum 1848;Bundesliga;#2309 Ibrahima Sissoko;2309;74;56;60;70;68;71;85
Espagne;D. AlavÃ©s;La Liga;#2309 Sivera;2309;74;74;72;75;76;57;73
Espagne;CD LeganÃ©s;La Liga;#2309 Juan Soriano;2309;74;74;70;68;76;37;73
SuÃ¨de;Celta Vigo;La Liga;#2309 Carl Starfelt;2309;74;75;31;53;68;74;76
Allemagne;SV Werder Bremen;Bundesliga;#2309 Niklas Stark;2309;74;74;50;62;66;74;76
Croatie;Real Sociedad;La Liga;#2309 Luka SuÄiÄ‡;2309;74;79;73;74;74;49;69
Slovaquie;Hellas VÃ©rone;Serie A;#2309 TomÃ¡Å¡ Suslov;2309;74;78;71;72;76;52;71
Hongrie;TSG Hoffenheim;Bundesliga;#2309 Attila Szalai;2309;74;72;45;62;63;74;79
Angleterre;Newcastle Utd;Premier League;#2309 Matt Targett;2309;74;65;47;71;70;73;66
Argentine;D. AlavÃ©s;La Liga;#2309 Nahuel Tenaglia;2309;74;71;43;65;72;74;79
Espagne;Paris SG;Ligue 1;#2309 Arnau Tenas;2309;74;73;70;80;77;52;72
Allemagne;FC Augsburg;Bundesliga;#2309 Phillip Tietz;2309;74;65;74;56;68;33;79
BrÃ©sil;OM;Ligue 1;#2309 Luis Henrique;2309;74;82;67;71;73;45;72
Espagne;FC Barcelona;La Liga;#2309 Pablo Torre;2309;74;72;64;76;76;45;53
Italie;Monza;Serie A;#2309 Stefano Turati;2309;74;75;71;71;78;35;74
Ã‰tats-Unis;Crystal Palace;Premier League;#2309 Matt Turner;2309;74;74;72;67;74;40;73
Allemagne;FC Bayern MÃ¼nchen;Bundesliga;#2309 Sven Ulreich;2309;74;75;69;62;79;41;73
Portugal;Lazio;Serie A;#2309 Nuno Tavares;2309;74;84;65;69;72;68;76
Mexique;Genoa;Serie A;#2309 Johan VÃ¡squez;2309;74;61;32;58;57;74;75
Belgique;Union Berlin;Bundesliga;#2309 Yorbe Vertessen;2309;74;89;73;66;74;34;70
Espagne;Celta Vigo;La Liga;#2309 IvÃ¡n Villar;2309;74;73;72;71;76;32;74
GrÃ¨ce;Newcastle Utd;Premier League;#2309 Odysseas Vlachodimos;2309;74;75;73;66;74;43;74
Ã‰tats-Unis;Juventus;Serie A;#2309 Timothy Weah;2309;74;85;70;67;75;63;69
Suisse;1. FSV Mainz 05;Bundesliga;#2309 Silvan Widmer;2309;74;72;62;70;72;71;77
Cameroun;Stade Rennais FC;Ligue 1;#2309 Christopher Wooh;2309;74;68;45;57;62;73;76
Russie;Real Sociedad;La Liga;#2309 Arsen Zakharyan;2309;74;79;70;74;72;53;60
Suisse;VfL Wolfsburg;Bundesliga;#2309 CÃ©dric Zesiger;2309;74;67;43;57;61;73;80
Angleterre;AFC Bournemouth;Premier League;#2871 Max Aarons;2871;73;81;42;62;73;69;74
AlgÃ©rie;Angers SCO;Ligue 1;#2871 Himad Abdelli;2871;73;65;68;70;73;60;73
Espagne;RCD Espanyol;Ligue 1;#2871 Aguado;2871;73;74;63;73;74;64;65
Maroc;Villarreal CF;La Liga;#2871 Ilias;2871;73;74;70;68;74;28;57
CÃ´te d'Ivoire;Lazio;Serie A;#2871 Jean-Daniel Akpa Akpro;2871;73;70;67;70;74;72;75
Espagne;Getafe CF;La Liga;#2871 AleÃ±Ã¡;2871;73;67;69;72;75;58;60
Maroc;Real Valladolid;La Liga;#2871 Selim Amallah;2871;73;67;73;73;71;64;74
Espagne;CA Osasuna;La Liga;#2871 Areso;2871;73;72;34;65;68;69;70
Nigeria;Southampton;Premier League;#2871 Joe Aribo;2871;73;74;64;72;76;66;77
Allemagne;SC Freiburg;Bundesliga;#2871 Noah Atubolu;2871;73;73;69;70;74;35;72
Portugal;VfL Wolfsburg;Bundesliga;#2871 Tiago TomÃ¡s;2871;73;83;70;58;76;39;69
Croatie;Genoa;Serie A;#2871 Milan Badelj;2871;73;44;61;71;71;70;70
GuinÃ©e-Bissau;Stade Brestois 29;Ligue 1;#2871 Mama BaldÃ©;2871;73;85;71;65;72;49;76
Cameroun;Brighton;Premier League;#2871 Carlos Baleba;2871;73;77;50;65;74;68;77
Argentine;Sevilla FC;La Liga;#2871 ValentÃ­n Barco;2871;73;76;50;75;77;65;60
GuinÃ©e;LOSC Lille;Ligue 1;#2871 Mohamed Bayo;2871;73;67;75;60;72;26;65
RÃ©p. d'Irlande;Southampton;Premier League;#2871 Gavin Bazunu;2871;73;74;72;74;76;47;69
Allemagne;VfL Wolfsburg;Bundesliga;#2871 Kevin Behrens;2871;73;67;72;51;66;42;85
Maroc;AS Monaco;Ligue 1;#2871 Eliesse Ben Seghir;2871;73;77;73;65;77;28;54
RD Congo;Montpellier;Ligue 1;#2871 Dimitry Bertaud;2871;73;73;69;72;75;53;72
Allemagne;SV Werder Bremen;Bundesliga;#2871 Leonardo Bittencourt;2871;73;65;67;71;80;57;59
France;Parma;Serie A;#2871 Yoan Bonny;2871;73;87;73;67;76;32;70
Serbie;CD LeganÃ©s;La Liga;#2871 Darko BraÅ¡anac;2871;73;50;69;72;70;72;71
Chili;Southampton;Premier League;#2871 Ben Brereton DÃ­az;2871;73;80;73;66;73;41;78
Albanie;Everton;Premier League;#2871 Armando Broja;2871;73;74;73;53;72;30;75
Argentine;Leicester City;Premier League;#2871 Facundo Buonanotte;2871;73;75;67;70;76;30;52
Ã‰tats-Unis;Venezia;Serie A;#2871 Gianluca Busio;2871;73;73;64;72;76;63;65
France;AS Saint-Ã‰tienne;Ligue 1;#2871 Mathieu Cafaro;2871;73;75;68;70;75;47;65
SuÃ¨de;Ipswich Town;Premier League;#2871 Jens-Lys Cajuste;2871;73;67;62;69;74;68;74
Italie;Monza;Serie A;#2871 Luca Caldirola;2871;73;32;42;63;59;76;65
Espagne;RCD Espanyol;Ligue 1;#2871 Calero;2871;73;62;42;65;65;73;69
SÃ©nÃ©gal;AS Monaco;Ligue 1;#2871 Lamine Camara;2871;73;79;65;73;74;57;59
Espagne;Rayo Vallecano;La Liga;#2871 Sergio Camello;2871;73;70;74;65;75;28;56
Espagne;Valencia CF;La Liga;#2871 Sergi CanÃ³s;2871;73;71;73;71;74;60;72
France;RCD Espanyol;Ligue 1;#2871 Irvin Cardona;2871;73;84;72;66;72;28;64
Venezuela;Toulouse FC;Ligue 1;#2871 Cristian CÃ¡sseres Jr;2871;73;77;64;67;71;72;74
Argentine;Bologne;Serie A;#2871 Santiago Castro;2871;73;79;73;59;73;40;65
Danemark;Fiorentina;Serie A;#2871 Oliver Christensen;2871;73;75;70;69;79;44;69
Australie;Parma;Serie A;#2871 Alessandro Circati;2871;73;61;35;53;49;74;74
Italie;Empoli;Serie A;#2871 Lorenzo Colombo;2871;73;68;75;51;70;29;72
Suisse;Real Valladolid;La Liga;#2871 Eray CÃ¶mert;2871;73;71;49;62;56;73;77
Espagne;Villarreal CF;La Liga;#2871 Diego Conde;2871;73;73;73;64;74;43;73
France;FC Nantes;Ligue 1;#2871 Nicolas Cozza;2871;73;73;41;61;70;74;68
Espagne;UD Las Palmas;La Liga;#2871 PejiÃ±o;2871;73;92;74;68;74;36;60
Allemagne;1. FSV Mainz 05;Bundesliga;#2871 Danny da Costa;2871;73;75;56;64;69;70;79
BrÃ©sil;OL;Ligue 1;#2871 Abner VinÃ­cius;2871;73;82;52;72;73;66;63
Danemark;Brentford;Premier League;#2871 Mikkel Damsgaard;2871;73;81;69;71;78;61;65
Angleterre;Brentford;Premier League;#2871 Josh Dasilva;2871;73;71;71;72;74;64;74
Pologne;Hellas VÃ©rone;Serie A;#2871 PaweÅ‚ Dawidowicz;2871;73;50;48;62;63;74;74
Espagne;CD LeganÃ©s;La Liga;#2871 Miguel;2871;73;71;73;54;73;31;77
Pays-Bas;OM;Ligue 1;#2871 Jeffrey de Lange;2871;73;73;69;74;73;56;73
Belgique;Stade de Reims;Ligue 1;#2871 Thibault De Smet;2871;73;67;52;64;68;68;72
SÃ©nÃ©gal;Strasbourg;Ligue 1;#2871 Habib Diarra;2871;73;68;63;69;73;69;70
CÃ´te d'Ivoire;AJ Auxerre;Ligue 1;#2871 Sinaly DiomandÃ©;2871;73;65;46;61;58;73;76
RÃ©p. d'Irlande;Wolves;Premier League;#2871 Matt Doherty;2871;73;67;65;69;69;72;73
BrÃ©sil;Notting. Forest;Premier League;#2871 Carlos Miguel;2871;73;71;74;69;71;17;73
Mali;Stade Brestois 29;Ligue 1;#2871 Kamory Doumbia;2871;73;69;67;70;76;57;59
Allemagne;VfL Bochum 1848;Bundesliga;#2871 Patrick Drewes;2871;73;74;71;67;75;30;71
Maroc;RCD Espanyol;Ligue 1;#2871 Omar El Hilali;2871;73;82;41;63;67;70;73
Pays-Bas;Strasbourg;Ligue 1;#2871 Emanuel Emegha;2871;73;81;71;56;69;30;74
Paraguay;Brighton;Premier League;#2871 Julio CÃ©sar Enciso;2871;73;77;72;68;78;32;50
France;FC Augsburg;Bundesliga;#2871 Samuel Essende;2871;73;74;71;49;67;26;82
Espagne;Villarreal CF;La Liga;#2871 Kiko FemenÃ­a;2871;73;69;56;69;67;71;65
Suisse;Stade Brestois 29;Ligue 1;#2871 Edimilson Fernandes;2871;73;69;65;70;72;76;68
Angleterre;West Ham;Premier League;#2871 Wes Foderingham;2871;73;74;71;72;75;44;72
Angleterre;Spurs;Premier League;#2871 Fraser Forster;2871;73;72;71;67;75;28;74
Espagne;Girona FC;La Liga;#2871 FrancÃ©s;2871;73;78;45;64;63;73;76
Allemagne;M'gladbach;Bundesliga;#2871 Marvin Friedrich;2871;73;62;41;57;50;75;71
Espagne;UD Las Palmas;La Liga;#2871 Manu Fuster;2871;73;78;68;73;71;52;48
Italie;Cagliari;Serie A;#2871 Gianluca Gaetano;2871;73;63;70;71;75;51;61
France;Stade Rennais FC;Ligue 1;#2871 Gauthier Gallon;2871;73;74;71;72;75;40;73
France;TSG Hoffenheim;Bundesliga;#2871 Valentin Gendrey;2871;73;79;34;59;66;68;73
Allemagne;Heidenheim;Bundesliga;#2871 Benedikt Gimber;2871;73;64;48;59;57;74;77
Espagne;RCD Espanyol;Ligue 1;#2871 Sergi GÃ³mez;2871;73;61;46;61;59;73;72
Espagne;RCD Espanyol;Ligue 1;#2871 JosÃ© Gragera;2871;73;59;50;66;66;74;75
Angleterre;Spurs;Premier League;#2871 Archie Gray;2871;73;75;60;70;74;70;72
Espagne;Valencia CF;La Liga;#2871 Hugo GuillamÃ³n;2871;73;57;53;67;64;74;71
Allemagne;SC Freiburg;Bundesliga;#2871 Manuel Gulde;2871;73;57;40;51;56;75;69
Espagne;Rayo Vallecano;La Liga;#2871 Gumbau;2871;73;53;66;76;69;72;68
Angleterre;Newcastle Utd;Premier League;#2871 Lewis Hall;2871;73;74;62;74;75;68;59
Maroc;Hellas VÃ©rone;Serie A;#2871 Abdou Harroui;2871;73;69;70;70;74;67;73
Allemagne;VfL Bochum 1848;Bundesliga;#2871 Philipp Hofmann;2871;73;51;72;55;65;37;80
Angleterre;Crystal Palace;Premier League;#2871 Rob Holding;2871;73;47;34;58;63;75;69
Allemagne;SC Freiburg;Bundesliga;#2871 Lucas HÃ¶ler;2871;73;69;73;54;63;51;79
Angleterre;Bologne;Serie A;#2871 Samuel Iling-Junior;2871;73;81;61;69;78;37;55
Angleterre;Ipswich Town;Premier League;#2871 Ben Johnson;2871;73;72;40;63;68;73;71
France;AJ Auxerre;Ligue 1;#2871 Paul Joly;2871;73;66;34;60;58;73;72
France;Montpellier;Ligue 1;#2871 Christopher Jullien;2871;73;54;50;62;56;72;77
Allemagne;SV Werder Bremen;Bundesliga;#2871 Anthony Jung;2871;73;63;62;65;66;74;74
RÃ©publique tchÃ¨que;TSG Hoffenheim;Bundesliga;#2871 David JurÃ¡sek;2871;73;82;61;68;72;67;75
CÃ´te d'Ivoire;Udinese;Serie A;#2871 Hassane Kamara;2871;73;82;59;67;73;67;74
Pologne;VfL Wolfsburg;Bundesliga;#2871 Jakub KamiÅ„ski;2871;73;82;64;66;77;48;58
Chypre;Hellas VÃ©rone;Serie A;#2871 Grigoris Kastanos;2871;73;76;70;72;75;55;65
Allemagne;Stade de Reims;Ligue 1;#2871 Reda Khadra;2871;73;85;67;68;77;48;67
Burkina Faso;RC Lens;Ligue 1;#2871 HervÃ© Koffi;2871;73;75;69;68;76;56;67
Mali;Montpellier;Ligue 1;#2871 Boubakar KouyatÃ©;2871;73;61;36;50;58;73;76
SuÃ¨de;Newcastle Utd;Premier League;#2871 Emil Krafth;2871;73;53;58;68;70;75;70
Ghana;SC Freiburg;Bundesliga;#2871 Daniel-Kofi Kyereh;2871;73;74;70;66;78;31;56
Croatie;FC Augsburg;Bundesliga;#2871 Nediljko LabroviÄ‡;2871;73;76;70;63;74;40;73
Autriche;M'gladbach;Bundesliga;#2871 Stefan Lainer;2871;73;70;62;65;67;73;75
PÃ©rou;Cagliari;Serie A;#2871 Gianluca Lapadula;2871;73;68;73;61;72;39;71
Danemark;TSG Hoffenheim;Bundesliga;#2871 Jacob Bruun Larsen;2871;73;81;72;70;73;55;66
Espagne;Real Valladolid;La Liga;#2871 Latasa;2871;73;69;73;55;67;22;68
Autriche;Torino;Serie A;#2871 Valentino Lazaro;2871;73;71;69;73;74;64;65
France;FC Nantes;Ligue 1;#2871 Johann Lepenant;2871;73;69;56;67;71;69;69
Angleterre;Brentford;Premier League;#2871 Keane Lewis-Potter;2871;73;78;67;65;76;44;65
Espagne;Real Betis;La Liga;#2871 Iker Losada;2871;73;76;73;73;71;34;55
SlovÃ©nie;Udinese;Serie A;#2871 Sandi LovriÄ;2871;73;49;64;72;72;68;69
Australie;Ipswich Town;Premier League;#2871 Massimo Luongo;2871;73;59;67;67;71;70;77
GrÃ¨ce;Bologne;Serie A;#2871 Charalampos Lykogiannis;2871;73;77;70;71;66;69;71
Congo;Cagliari;Serie A;#2871 Antoine Makoumbou;2871;73;72;59;67;76;68;78
Ã‰tats-Unis;Heidenheim;Bundesliga;#2871 Lennard Maloney;2871;73;64;44;56;60;75;86
Espagne;Girona FC;La Liga;#2871 Juan Carlos;2871;73;72;73;72;73;59;71
Serbie;VfL Bochum 1848;Bundesliga;#2871 Erhan MaÅ¡oviÄ‡;2871;73;61;33;49;56;75;69
Espagne;UD Las Palmas;La Liga;#2871 Mata;2871;73;61;72;63;70;38;72
Italie;CÃ´me;Serie A;#2871 Luca Mazzitelli;2871;73;40;62;75;71;64;68
Ã‰cosse;UD Las Palmas;La Liga;#2871 Oli McBurnie;2871;73;54;72;58;68;34;81
CÃ´te d'Ivoire;OM;Ligue 1;#2871 Bamo MeÃ¯tÃ©;2871;73;54;33;47;58;75;70
BrÃ©sil;AJ Auxerre;Ligue 1;#2871 Jubal;2871;73;46;39;46;56;73;76
Espagne;RCD Espanyol;Ligue 1;#2871 Pere Milla;2871;73;73;73;70;73;51;66
Pologne;Brighton;Premier League;#2871 Jakub Moder;2871;73;61;70;74;72;70;71
France;FC Nantes;Ligue 1;#2871 Florent Mollet;2871;73;66;72;77;75;51;63
Espagne;Lecce;Serie A;#2871 Tete Morente;2871;73;80;70;72;72;44;69
BrÃ©sil;Stade de Reims;Ligue 1;#2871 Gabriel Moscardo;2871;73;70;52;62;70;71;78
Kosovo;SC Freiburg;Bundesliga;#2871 Florent Muslija;2871;73;78;67;71;77;30;49
BrÃ©sil;Strasbourg;Ligue 1;#2871 Andrey Santos;2871;73;74;65;70;75;70;69
SuÃ¨de;Strasbourg;Ligue 1;#2871 Sebastian Nanasi;2871;73;70;64;71;77;32;65
Belgique;SSC Napoli;Serie A;#2871 Cyril Ngonge;2871;73;83;72;67;75;35;64
France;Sevilla FC;La Liga;#2871 Tanguy Nianzou;2871;73;60;37;55;63;72;75
Allemagne;M'gladbach;Bundesliga;#2871 Moritz Nicolas;2871;73;76;74;68;77;21;70
Allemagne;SV Werder Bremen;Bundesliga;#2871 Justin Njinmah;2871;73;90;75;62;73;30;59
France;Francfort;Bundesliga;#2871 Niels Nkounkou;2871;73;78;49;69;75;66;73
Danemark;Bologne;Serie A;#2871 Jens Odgaard;2871;73;73;73;68;72;42;77
France;Spurs;Premier League;#2871 Wilson Odobert;2871;73;86;67;64;75;30;49
RÃ©p. d'Irlande;Ipswich Town;Premier League;#2871 Chiedozie Ogbene;2871;73;91;65;66;74;64;78
Espagne;RCD Espanyol;Ligue 1;#2871 Brian OlivÃ¡n;2871;73;78;60;71;68;66;76
Autriche;1. FSV Mainz 05;Bundesliga;#2871 Karim Onisiwo;2871;73;75;71;63;71;50;83
Belgique;AC milan;Serie A;#2871 Divock Origi;2871;73;71;72;66;72;27;72
Angleterre;FC Augsburg;Bundesliga;#2871 Reece Oxford;2871;73;57;33;54;61;74;67
Espagne;RCD Espanyol;Ligue 1;#2871 Pacheco;2871;73;73;72;68;73;44;72
France;FC Nantes;Ligue 1;#2871 Nicolas Pallois;2871;73;34;54;58;57;73;78
Ã‰tats-Unis;VfL Wolfsburg;Bundesliga;#2871 Kevin Paredes;2871;73;78;59;66;78;58;49
Allemagne;FC Bayern MÃ¼nchen;Bundesliga;#2871 Aleksandar PavloviÄ‡;2871;73;69;60;75;72;68;65
Argentine;Udinese;Serie A;#2871 MartÃ­n Payero;2871;73;70;65;73;76;63;73
NorvÃ¨ge;Torino;Serie A;#2871 Marcus Holmgren Pedersen;2871;73;89;49;68;72;65;68
Danemark;FC Augsburg;Bundesliga;#2871 Mads Pedersen;2871;73;82;52;65;73;67;67
Espagne;FC Barcelona;La Liga;#2871 IÃ±aki PeÃ±a;2871;73;72;68;77;73;35;72
Espagne;Real Valladolid;La Liga;#2871 Luis PÃ©rez;2871;73;87;47;60;66;67;76
Espagne;Valencia CF;La Liga;#2871 Fran PÃ©rez;2871;73;75;68;70;74;39;56
Espagne;Real Valladolid;La Liga;#2871 Kike PÃ©rez;2871;73;60;64;71;77;59;54
Autriche;VfL Wolfsburg;Bundesliga;#2871 Pavao Pervan;2871;73;72;73;69;75;30;70
Italie;Monza;Serie A;#2871 Andrea Petagna;2871;73;47;73;67;72;35;78
Italie;Genoa;Serie A;#2871 Andrea Pinamonti;2871;73;70;75;53;71;27;71
Espagne;RCD Majorque;La Liga;#2871 AbdÃ³n Prats;2871;73;68;75;61;73;29;67
Autriche;Union Berlin;Bundesliga;#2871 Leopold Querfeld;2871;73;61;40;55;51;72;82
Espagne;CD LeganÃ©s;La Liga;#2871 Dani Raba;2871;73;64;72;73;72;40;65
Espagne;Girona FC;La Liga;#2871 Juanpe;2871;73;50;37;55;49;72;77
Roumanie;Rayo Vallecano;La Liga;#2871 Andrei RaÈ›iu;2871;73;88;56;65;67;69;66
Maroc;Fiorentina;Serie A;#2871 Amir Richardson;2871;73;73;64;69;72;67;74
Serbie;Celta Vigo;La Liga;#2871 Mihailo RistiÄ‡;2871;73;75;64;66;73;67;68
Danemark;Brentford;Premier League;#2871 Mads Roerslev;2871;73;68;45;69;70;70;70
Espagne;RCD Majorque;La Liga;#2871 Leo RomÃ¡n;2871;73;71;72;69;75;49;70
Espagne;Sevilla FC;La Liga;#2871 Isaac;2871;73;71;73;69;70;23;62
Italie;Atalanta Bergame;Serie A;#2871 Matteo Ruggeri;2871;73;67;57;70;70;70;72
Maroc;Fiorentina;Serie A;#2871 Abdelhamid Sabiri;2871;73;59;71;71;75;59;74
Mali;Montpellier;Ligue 1;#2871 Modibo Sagnan;2871;73;66;32;58;56;73;76
Espagne;Sevilla FC;La Liga;#2871 Kike Salas;2871;73;63;26;46;52;74;74
Espagne;Real Valladolid;La Liga;#2871 IvÃ¡n SÃ¡nchez;2871;73;69;66;74;78;39;42
Espagne;RCD Majorque;La Liga;#2871 Antonio SÃ¡nchez;2871;73;74;66;73;73;65;75
SÃ©nÃ©gal;Havre AC;Ligue 1;#2871 Arouna Sangante;2871;73;58;34;59;59;73;75
Ghana;Crystal Palace;Premier League;#2871 Jeffrey Schlupp;2871;73;75;71;68;74;70;69
Allemagne;Heidenheim;Bundesliga;#2871 Jan SchÃ¶ppner;2871;73;60;57;63;62;75;79
Italie;Cagliari;Serie A;#2871 Simone Scuffet;2871;73;73;71;65;76;50;72
Angola;Cagliari;Serie A;#2871 Zito Luvumbo;2871;73;87;70;66;78;46;66
Serbie;D. AlavÃ©s;La Liga;#2871 Aleksandar Sedlar;2871;73;43;43;51;51;74;77
Ã‰tats-Unis;Union Berlin;Bundesliga;#2871 Jordan Siebatcheu;2871;73;55;72;61;71;39;76
France;SC Freiburg;Bundesliga;#2871 Kiliann Sildillia;2871;73;68;30;61;68;74;71
Allemagne;Union Berlin;Bundesliga;#2871 Tim Skarke;2871;73;85;74;63;75;47;68
RÃ©p. d'Irlande;Southampton;Premier League;#2871 Will Smallbone;2871;73;63;64;68;75;67;66
SuÃ¨de;FC St. Pauli;Bundesliga;#2871 Eric Smith;2871;73;65;57;66;66;72;78
Angleterre;AFC Bournemouth;Premier League;#2871 Adam Smith;2871;73;65;59;70;70;72;70
Portugal;UD Las Palmas;La Liga;#2871 FÃ¡bio Silva;2871;73;74;73;58;74;31;72
NorvÃ¨ge;Empoli;Serie A;#2871 Ola Solbakken;2871;73;81;69;66;73;37;69
Angleterre;Southampton;Premier League;#2871 Jack Stephens;2871;73;42;42;62;66;74;73
Chili;Toulouse FC;Ligue 1;#2871 Gabriel Suazo;2871;73;71;59;69;71;69;75
Bosnie-HerzÃ©govine;TSG Hoffenheim;Bundesliga;#2871 Haris TabakoviÄ‡;2871;73;63;73;52;65;29;80
Maroc;Havre AC;Ligue 1;#2871 Oussama Targhalline;2871;73;50;63;70;72;68;57
Cameroun;Hellas VÃ©rone;Serie A;#2871 Jackson Tchatchoua;2871;73;88;56;62;72;66;79
Espagne;RCD Espanyol;Ligue 1;#2871 Ãlvaro Tejero;2871;73;82;64;69;71;65;69
Allemagne;Heidenheim;Bundesliga;#2871 Omar Haktab TraorÃ©;2871;73;81;51;61;70;69;71
RÃ©p. d'Irlande;AFC Bournemouth;Premier League;#2871 Mark Travers;2871;73;73;69;70;76;40;73
Angleterre;Ipswich Town;Premier League;#2871 Axel Tuanzebe;2871;73;80;36;62;68;72;70
France;Southampton;Premier League;#2871 Lesley Ugochukwu;2871;73;64;57;68;68;72;75
Espagne;Real Madrid;La Liga;#2871 Vallejo;2871;73;66;42;56;64;74;63
Belgique;RCD Majorque;La Liga;#2871 Siebe Van der Heyden;2871;73;59;34;57;53;74;74
Serbie;SV Werder Bremen;Bundesliga;#2871 MiloÅ¡ VeljkoviÄ‡;2871;73;34;33;53;59;74;74
Espagne;D. AlavÃ©s;La Liga;#2871 Villalibre;2871;73;74;74;56;70;39;81
Italie;Cagliari;Serie A;#2871 Nicolas Viola;2871;73;47;72;78;75;58;61
Angleterre;Crystal Palace;Premier League;#2871 Joel Ward;2871;73;51;52;68;65;77;68
Allemagne;VfL Bochum 1848;Bundesliga;#2871 Maximilian Wittek;2871;73;74;67;68;72;67;72
Angleterre;Ipswich Town;Premier League;#2871 Luke Woolfenden;2871;73;68;35;61;63;72;79
