Nationalité,Club,Nom,Position,Poste,Note,VIT,TIR,PAS,DRI,DEF,PHY
Côte d'Ivoire,Notting. Forest,#1214 Willy Boly,DC,1214,77,34,36,60,58,77,78
Uruguay,Wolves,#1214 Santiago Bueno,DC,1214,77,50,31,56,56,78,78
Angleterre,Everton,#1214 Dominic Calvert-Lewin,BU,1214,77,75,74,63,73,39,76
Italie,Juventus,#1214 Andrea Cambiaso,DD,1214,77,78,61,76,77,72,66
Italie,Monza,#1214 Gianluca Caprari,MOC,1214,77,77,74,76,80,36,49
Portugal,LOSC Lille,#1214 Tiago Santos,DD,1214,77,83,56,71,77,72,66
Italie,Bologne,#1214 Nicolò Casale,DC,1214,77,74,53,66,68,77,77
Belgique,Fulham,#1214 Timothy Castagne,DD,1214,77,72,57,71,73,74,72
Italie,Latium,#1214 Gaetano Castrovilli,MC,1214,77,69,67,76,82,66,65
Italie,Fiorentina,#1214 Danilo Cataldi,MDC,1214,77,68,71,77,78,73,71
Allemagne,VfB Stuttgart,#1214 Julian Chabot,DC,1214,77,51,29,44,56,78,83
Algérie,Francfort,#1214 Farès Chaïbi,MOC,1214,77,75,70,77,77,68,73
France,Stade Brestois 29,#1214 Brendan Chardonnet,DC,1214,77,48,46,54,60,78,76
Pays-Bas,UD Las Palmas,#1214 Jasper Cillessen,G,1214,77,76,76,73,76,54,77
Italie,Monza,#1214 Patrick Ciurria,MD,1214,77,81,72,77,77,53,58
Angleterre,Chelsea,#1214 Levi Colwill,DC,1214,77,69,40,68,68,77,77
Angleterre,AFC Bournemouth,#1214 Lewis Cook,MDC,1214,77,60,62,75,77,73,68
Brésil,Fiorentina,#1214 Dodô,DD,1214,77,85,59,73,78,71,70
Pays-Bas,Bologne,#1214 Thijs Dallinga,BU,1214,77,72,77,65,72,30,67
Pays-Bas,Girona FC,#1214 Arnaut Danjuma,BU,1214,77,83,75,74,80,44,67
Angleterre,Wolves,#1214 Craig Dawson,DC,1214,77,34,47,62,54,79,75
Espagne,Rayo Vallecano,#1214 De Frutos,MD,1214,77,83,71,72,78,41,64
Brésil,AS Monaco,#1214 Vanderson,DD,1214,77,77,62,74,77,72,71
Espagne,Rayo Vallecano,#1214 Raúl De Tomás,BU,1214,77,74,76,76,78,40,72
France,LOSC Lille,#1214 Bafodé Diakité,DC,1214,77,75,41,63,70,76,77
Espagne,Athletic Club,#1214 Álvaro Djaló,MD,1214,77,90,70,71,80,50,59
France,Fulham,#1214 Issa Diop,DC,1214,77,57,37,53,55,77,80
France,Stade de Reims,#1214 Yehvann Diouf,G,1214,77,77,75,73,78,45,75
Togo,Getafe CF,#1214 Dakonam Djené,DC,1214,77,68,42,67,68,77,77
Argentine,Notting. Forest,#1214 Nicolás Domínguez,MDC,1214,77,69,65,72,76,72,77
Brésil,Brighton,#1214 Igor,DC,1214,77,67,37,57,58,77,85
Allemagne,SV Werder Bremen,#1214 Marvin Ducksch,BU,1214,77,63,78,77,75,35,66
Suisse,AS Monaco,#1214 Breel Embolo,BU,1214,77,78,77,70,74,51,80
Espagne,AS Roma,#1214 Angeliño,DG,1214,77,63,70,81,81,73,66
Pologne,West Ham,#1214 Łukasz Fabiański,G,1214,77,77,78,68,76,49,77
France,Stade Brestois 29,#1214 Romain Faivre,MD,1214,77,71,73,76,80,62,65
Espagne,FC Barcelona,#1214 Ansu Fati,MOC,1214,77,89,75,72,81,30,53
Espagne,CA Osasuna,#1214 Aitor,G,1214,77,77,74,68,80,56,76
Portugal,Notting. Forest,#1214 Jota Silva,MD,1214,77,83,72,69,76,44,74
Espagne,Latium,#1214 Patric,DC,1214,77,63,53,69,71,78,72
Italie,Milano FC,#1214 Matteo Gabbia,DC,1214,77,48,35,52,58,79,75
Portugal,Wolves,#1214 Gonçalo Guedes,BU,1214,77,83,79,71,81,37,68
France,Latium,#1214 Samuel Gigot,DC,1214,77,62,38,62,60,77,81
Angleterre,LOSC Lille,#1214 Angel Gomes,MOC,1214,77,76,70,75,79,72,69
Portugal,Everton,#1214 Beto,BU,1214,77,79,76,58,70,25,85
Pays-Bas,Stade Rennais FC,#1214 Hans Hateboer,DD,1214,77,76,63,71,75,74,75
Angleterre,Brentford,#1214 Rico Henry,DG,1214,77,87,41,62,75,75,71
Angleterre,Notting. Forest,#1214 Callum Hudson-Odoi,MG,1214,77,82,72,73,80,48,60
France,Fiorentina,#1214 Jonathan Ikoné,AD,1214,77,89,67,72,83,35,58
Serbie,Torino,#1214 Ivan Ilić,MC,1214,77,68,72,77,78,68,69
Nigeria,Fulham,#1214 Alex Iwobi,MD,1214,77,75,65,72,80,56,75
Danemark,Brentford,#1214 Mathias Jensen,MC,1214,77,67,64,79,75,69,74
Danemark,Chelsea,#1214 Filip Jörgensen,G,1214,77,75,76,77,77,41,78
Brésil,Brighton,#1214 João Pedro,BU,1214,77,77,77,67,79,28,62
Autriche,Wolves,#1214 Saša Kalajdžić,BU,1214,77,51,75,68,71,46,68
France,Stade Rennais FC,#1214 Arnaud Kalimuendo,BU,1214,77,80,76,60,78,29,67
Rép. d'Irlande,Liverpool,#1214 Caoimhin Kelleher,G,1214,77,76,74,77,78,43,76
Hongrie,AFC Bournemouth,#1214 Milos Kerkez,DG,1214,77,83,55,70,75,70,75
Angleterre,West Ham,#1214 Maximilian Kilman,DC,1214,77,61,42,66,64,77,78
Allemagne,M'gladbach,#1214 Tim Kleindienst,BU,1214,77,67,79,56,68,39,87
Pays-Bas,AFC Bournemouth,#1214 Justin Kluivert,MOC,1214,77,88,75,73,81,38,65
République tchèque,Girona FC,#1214 Ladislav Krejčí,DC,1214,77,67,67,67,69,74,85
France,AS Roma,#1214 Enzo Le Fée,MC,1214,77,63,57,78,80,62,57
France,Montpellier,#1214 Benjamin Lecomte,G,1214,77,76,75,77,76,41,75
France,Rayo Vallecano,#1214 Florian Lejeune,DC,1214,77,48,57,64,65,77,70
Espagne,Athletic Club,#1214 Lekue,DD,1214,77,82,62,70,73,73,75
Espagne,Real Betis,#1214 Diego Llorente,DC,1214,77,64,40,63,67,78,76
France,Stade Brestois 29,#1214 Bradley Locko,DG,1214,77,75,51,64,73,75,70
Brésil,Paris SG,#1214 Lucas Beraldo,DC,1214,77,68,38,65,67,76,74
Colombie,Bologne,#1214 Jhon Lucumí,DC,1214,77,66,37,62,61,78,78
Italie,Cagliari,#1214 Sebastiano Luperto,DC,1214,77,64,48,59,63,79,73
Venezuela,Real Valladolid,#1214 Darwin Machís,MG,1214,77,86,76,72,82,38,67
Angleterre,Man Utd,#1214 Kobbie Mainoo,MDC,1214,77,74,66,74,81,73,72
Pologne,AS Monaco,#1214 Radosław Majecki,G,1214,77,77,74,71,78,31,75
Ukraine,Genoa,#1214 Ruslan Malinovskyi,MC,1214,77,67,79,79,77,63,79
Italie,Fiorentina,#1214 Rolando Mandragora,MDC,1214,77,46,66,75,75,74,74
Chili,Torino,#1214 Guillermo Maripán,DC,1214,77,33,42,58,53,78,78
Argentine,Fiorentina,#1214 Lucas Martínez Quarta,DC,1214,77,56,56,69,70,76,78
Brésil,Man Utd,#1214 Antony,MD,1214,77,82,70,72,82,43,72
Angleterre,Everton,#1214 Dwight McNeil,MG,1214,77,68,73,77,78,55,68
Géorgie,OL,#1214 Georges Mikautadze,BU,1214,77,81,78,72,80,40,71
Serbie,Torino,#1214 Vanja Milinković-Savić,G,1214,77,81,76,84,77,43,77
Espagne,Getafe CF,#1214 Luis Milla,MC,1214,77,68,72,77,74,75,73
France,VfB Stuttgart,#1214 Enzo Millot,MOC,1214,77,75,69,74,81,61,57
Espagne,Valencia CF,#1214 Rafa Mir,BU,1214,77,76,77,66,72,45,79
Angleterre,Crystal Palace,#1214 Tyrick Mitchell,DG,1214,77,75,41,62,73,76,69
Nigeria,OGC Nice,#1214 Terem Moffi,BU,1214,77,91,77,54,72,26,77
Colombie,RCD Majorque,#1214 Johan Mojica,DG,1214,77,88,65,73,72,72,70
Espagne,UD Las Palmas,#1214 Moleiro,MG,1214,77,83,66,73,81,51,62
Italie,Hellas Vérone,#1214 Lorenzo Montipò,G,1214,77,75,73,69,83,42,75
Brésil,Real Madrid,#1214 Endrick,BU,1214,77,89,76,61,78,30,64
Espagne,Valencia CF,#1214 Mosquera,DC,1214,77,76,46,60,56,79,77
Allemagne,OGC Nice,#1214 Youssoufa Moukoko,BU,1214,77,77,76,59,80,34,67
Ukraine,Chelsea,#1214 Mykhailo Mudryk,MG,1214,77,92,72,72,80,38,63
Ukraine,Everton,#1214 Vitaliy Mykolenko,DG,1214,77,75,51,65,61,76,69
Côte d'Ivoire,AS Roma,#1214 Evan Ndicka,DC,1214,77,74,53,68,69,77,77
Allemagne,Borussia Dortmund,#1214 Felix Nmecha,MC,1214,77,80,69,71,80,75,81
Allemagne,VfL Wolfsburg,#1214 Lukas Nmecha,BU,1214,77,76,77,66,77,40,77
Danemark,Brentford,#1214 Christian Nørgaard,MDC,1214,77,52,60,70,69,76,78
Espagne,Athletic Club,#1214 Unai Núñez,DC,1214,77,69,24,51,51,77,78
Uruguay,SSC Napoli,#1214 Mathías Olivera,DG,1214,77,71,50,68,71,75,73
Espagne,Athletic Club,#1214 Aitor Paredes,DC,1214,77,72,36,49,56,78,75
Angleterre,Ipswich Town,#1214 Kalvin Phillips,MDC,1214,77,58,65,73,73,75,74
France,M'gladbach,#1214 Alassane Plea,BU,1214,77,66,77,79,79,39,71
Danemark,RB Leipzig,#1214 Yussuf Poulsen,BU,1214,77,72,71,67,74,56,80
Espagne,RCD Espanyol,#1214 Puado,MG,1214,77,84,76,69,76,51,75
Brésil,Juventus,#1214 Arthur,MDC,1214,77,59,65,79,83,71,65
Espagne,Spurs,#1214 Reguilón,DG,1214,77,82,58,73,77,73,67
Portugal,Valencia CF,#1214 André Almeida,MC,1214,77,72,66,78,79,67,63
Italie,Torino,#1214 Samuele Ricci,MDC,1214,77,73,55,72,78,73,68
Suisse,Real Betis,#1214 Ricardo Rodríguez,DC,1214,77,70,69,79,76,79,74
Sénégal,Real Betis,#1214 Youssouf Sabaly,DD,1214,77,78,54,65,74,74,71
Nigeria,Real Sociedad,#1214 Umar Sadiq,BU,1214,77,83,76,60,72,30,76
Russie,Paris SG,#1214 Matvey Safonov,G,1214,77,78,74,75,80,44,77
Hongrie,SC Freiburg,#1214 Roland Sallai,MD,1214,77,74,71,71,79,38,70
Paraguay,Torino,#1214 Antonio Sanabria,BU,1214,77,75,75,69,80,32,60
Côte d'Ivoire,Notting. Forest,#1214 Ibrahim Sangaré,MDC,1214,77,60,65,72,72,77,83
France,Stade Rennais FC,#1214 Baptiste Santamaria,MDC,1214,77,42,67,73,74,73,73
Espagne,Wolves,#1214 Pablo Sarabia,MOC,1214,77,69,73,79,79,57,58
Autriche,RB Leipzig,#1214 Nicolas Seiwald,MDC,1214,77,73,62,73,74,74,75
Belgique,Notting. Forest,#1214 Matz Sels,G,1214,77,76,76,79,77,36,77
Allemagne,Hellas Vérone,#1214 Suat Serdar,MC,1214,77,68,71,73,79,73,76
Argentine,SSC Napoli,#1214 Giovanni Simeone,BU,1214,77,71,79,63,73,41,74
Colombie,AFC Bournemouth,#1214 Luis Sinisterra,MG,1214,77,88,71,69,82,52,51
Angleterre,Leicester City,#1214 Oliver Skipp,MDC,1214,77,61,47,68,71,75,70
Angleterre,Fulham,#1214 Emile Smith Rowe,MG,1214,77,76,71,74,80,43,61
France,RC Lens,#1214 Florian Sotoca,BU,1214,77,73,75,75,73,50,81
Argentine,AS Roma,#1214 Matías Soulé,MD,1214,77,75,69,74,81,36,56
Italie,Milano FC,#1214 Marco Sportiello,G,1214,77,76,74,75,77,44,80
Allemagne,TSG Hoffenheim,#1214 Anton Stach,MC,1214,77,73,68,74,72,77,80
Croatie,FC Bayern München,#1214 Josip Stanišić,DD,1214,77,73,44,65,69,78,74
Autriche,M'gladbach,#1214 Kevin Stöger,MOC,1214,77,57,71,81,77,64,62
Japon,Southampton,#1214 Yukinari Sugawara,DD,1214,77,82,54,76,73,71,71
Suède,VfL Wolfsburg,#1214 Mattias Svanberg,MC,1214,77,81,69,75,77,63,73
France,FC Bayern München,#1214 Mathys Tel,BU,1214,77,86,80,64,77,29,64
Belgique,Francfort,#1214 Arthur Theate,DC,1214,77,71,40,55,59,78,80
Espagne,CA Osasuna,#1214 Lucas Torró,MDC,1214,77,44,63,69,68,75,75
Argentine,Rayo Vallecano,#1214 Óscar Trejo,MOC,1214,77,64,75,77,80,70,77
France,Stade Rennais FC,#1214 Adrien Truffert,DG,1214,77,76,57,71,75,73,69
Grèce,Liverpool,#1214 Konstantinos Tsimikas,DG,1214,77,80,57,74,75,73,78
Slovaquie,RCD Majorque,#1214 Martin Valjent,DC,1214,77,63,36,59,65,78,83
Pays-Bas,Brentford,#1214 Sepp van den Berg,DC,1214,77,76,36,63,66,78,76
Angleterre,Leicester City,#1214 Jamie Vardy,BU,1214,77,74,78,69,72,52,66
Espagne,Athletic Club,#1214 Vesga,MC,1214,77,45,74,74,65,76,81
France,OM,#1214 Elye Wahi,BU,1214,77,84,79,67,79,31,67
Allemagne,SV Werder Bremen,#1214 Mitchell Weiser,DD,1214,77,79,63,73,81,70,71
Angleterre,Newcastle Utd,#1214 Joe Willock,MC,1214,77,77,72,73,80,72,69
Autriche,VfL Wolfsburg,#1214 Patrick Wimmer,MD,1214,77,80,69,71,81,49,70
Ukraine,AFC Bournemouth,#1214 Illia Zabarnyi,DC,1214,77,63,37,62,61,78,76
France,VfB Stuttgart,#1214 Dan-Axel Zagadou,DC,1214,77,55,34,60,51,77,80
Pologne,AS Roma,#1214 Nicola Zalewski,MG,1214,77,85,64,74,79,64,59
Côte d'Ivoire,Brighton,#1520 Simon Adingra,MD,1520,76,88,70,69,80,30,52
Suisse,Bologne,#1520 Michel Aebischer,MC,1520,76,66,67,74,75,74,74
Norvège,Brentford,#1520 Kristoffer Ajer,DC,1520,76,64,56,63,70,74,82
France,AS Monaco,#1520 Maghnes Akliouche,MD,1520,76,74,68,75,80,48,59
Nigeria,Notting. Forest,#1520 Taiwo Awoniyi,BU,1520,76,75,76,60,69,32,79
Brésil,Parma,#1520 Hernani,MDC,1520,76,60,70,71,72,73,75
Côte d'Ivoire,Villarreal CF,#1520 Eric Bailly,DC,1520,76,68,42,59,66,76,71
Italie,AS Roma,#1520 Tommaso Baldanzi,MOC,1520,76,78,72,73,79,41,50
Espagne,Atlético Madrid,#1520 Pablo Barrios,MC,1520,76,76,68,72,75,69,63
Italie,Lecce,#1520 Federico Baschirotto,DC,1520,76,70,53,60,57,75,86
Nigeria,Fulham,#1520 Calvin Bassey,DC,1520,76,82,44,62,67,74,86
Argentine,Rayo Vallecano,#1520 Augusto Batalla,G,1520,76,77,73,74,78,43,74
Turquie,Man Utd,#1520 Altay Bayındır,G,1520,76,78,73,72,79,30,76
Togo,TSG Hoffenheim,#1520 Ihlas Bebou,BU,1520,76,85,74,68,78,34,65
Suriname,Real Sociedad,#1520 Sheraldo Becker,BU,1520,76,93,74,70,78,35,69
Italie,Bergamo Calcio,#1520 Raoul Bellanova,DD,1520,76,86,32,65,73,69,72
Espagne,Real Betis,#1520 Héctor Bellerín,DD,1520,76,80,51,69,76,72,64
Norvège,Fulham,#1520 Sander Berge,MC,1520,76,53,65,73,71,75,85
Algérie,OGC Nice,#1520 Hicham Boudaoui,MC,1520,76,75,65,73,77,74,74
Allemagne,1. FSV Mainz 05,#1520 Jonathan Burkardt,BU,1520,76,75,75,67,78,43,76
France,LOSC Lille,#1520 Rémy Cabella,MOC,1520,76,68,71,76,80,40,50
France,Stade Brestois 29,#1520 Mahdi Camara,MC,1520,76,61,63,72,76,75,75
Argentine,Celta Vigo,#1520 Franco Cervi,MG,1520,76,88,67,72,78,55,52
Espagne,FC Nantes,#1520 Pedro Chirivella,MDC,1520,76,54,54,71,71,70,72
Écosse,AFC Bournemouth,#1520 Ryan Christie,MC,1520,76,76,70,75,77,71,78
Allemagne,Francfort,#1520 Mahmoud Dahoud,MC,1520,76,64,67,75,80,65,67
Pays de Galles,Spurs,#1520 Ben Davies,DC,1520,76,58,58,72,72,77,72
Angleterre,Ipswich Town,#1520 Leif Davis,DG,1520,76,80,54,75,73,70,73
Italie,Empoli,#1520 Mattia De Sciglio,DD,1520,76,65,46,70,74,76,67
États-Unis,Real Betis,#1520 Johnny Cardoso,MDC,1520,76,73,66,72,75,75,67
Brésil,LOSC Lille,#1520 Alexsandro,DC,1520,76,62,31,51,53,77,78
Guinée,Valencia CF,#1520 Mouctar Diakhaby,DC,1520,76,62,39,55,60,77,76
France,Francfort,#1520 Junior Dina Ebimbe,MD,1520,76,85,63,71,76,70,78
Allemagne,SC Freiburg,#1520 Eren Dinkçi,MD,1520,76,91,75,68,75,31,59
Maroc,OGC Nice,#1520 Sofiane Diop,AG,1520,76,70,70,75,81,54,53
France,Paris SG,#1520 Désiré Doué,MG,1520,76,78,69,72,81,52,64
Slovaquie,Newcastle Utd,#1520 Martin Dúbravka,G,1520,76,76,74,78,78,38,75
Nigeria,Sevilla FC,#1520 Chidera Ejuke,MG,1520,76,90,68,70,80,37,62
France,Francfort,#1520 Hugo Ekitike,BU,1520,76,84,75,61,77,25,67
Maroc,Leicester City,#1520 Bilal El Khannouss,MOC,1520,76,71,60,78,81,37,56
Suède,Notting. Forest,#1520 Anthony Elanga,MD,1520,76,87,69,68,78,39,69
Suisse,M'gladbach,#1520 Nico Elvedi,DC,1520,76,73,39,63,65,77,74
Belgique,Leicester City,#1520 Wout Faes,DC,1520,76,52,39,55,59,77,79
Italie,Juventus,#1520 Nicolò Fagioli,MDC,1520,76,76,63,78,79,70,68
Ghana,Leicester City,#1520 Abdul Fatawu,AD,1520,76,84,73,74,78,44,64
Espagne,RCD Majorque,#1520 Valery,MG,1520,76,87,68,70,76,67,69
France,Montpellier,#1520 Jordan Ferri,MDC,1520,76,52,65,74,74,70,74
Italie,Milano FC,#1520 Alessandro Florenzi,DD,1520,76,70,76,80,79,75,56
Italie,SSC Napoli,#1520 Michael Folorunsho,MOC,1520,76,73,76,74,75,71,82
Espagne,Real Betis,#1520 Pablo Fornals,MG,1520,76,64,70,77,76,69,71
Danemark,Genoa,#1520 Morten Frendrup,MC,1520,76,78,60,66,76,73,77
Espagne,RCD Espanyol,#1520 Joan García,G,1520,76,76,75,70,76,45,74
Allemagne,VfL Wolfsburg,#1520 Yannick Gerhardt,MC,1520,76,69,70,74,75,70,77
Espagne,Girona FC,#1520 Bryan Gil,MG,1520,76,75,67,74,81,31,40
Espagne,Latium,#1520 Mario Gila,DC,1520,76,75,53,67,72,78,68
Espagne,Sevilla FC,#1520 Adrià Pedrosa,DG,1520,76,90,60,69,78,69,73
Italie,Genoa,#1520 Pierluigi Gollini,G,1520,76,76,74,73,78,47,76
Portugal,Wolves,#1520 Toti,DC,1520,76,79,47,65,66,76,76
Espagne,Athletic Club,#1520 Gorosabel,DD,1520,76,74,46,70,72,74,67
Pays-Bas,FC Augsburg,#1520 Jeffrey Gouweleeuw,DC,1520,76,67,58,66,64,78,71
Sénégal,Everton,#1520 Idrissa Gueye,MDC,1520,76,60,60,66,71,78,68
Allemagne,M'gladbach,#1520 Robin Hack,MG,1520,76,80,74,70,79,33,60
Norvège,1. FSV Mainz 05,#1520 Andreas Hanche-Olsen,DC,1520,76,69,38,57,63,76,79
Maroc,OM,#1520 Amine Harit,MC,1520,76,77,65,74,81,60,57
Angleterre,Everton,#1520 Jack Harrison,MD,1520,76,79,71,70,78,49,69
Danemark,Leicester City,#1520 Mads Hermansen,G,1520,76,76,74,78,79,50,75
Espagne,Rayo Vallecano,#1520 Aridane,DC,1520,76,43,36,54,54,76,84
Écosse,Brentford,#1520 Aaron Hickey,DD,1520,76,74,54,70,74,74,68
République tchèque,TSG Hoffenheim,#1520 Adam Hložek,BU,1520,76,75,76,72,76,31,77
Danemark,Latium,#1520 Gustav Isaksen,AD,1520,76,88,72,67,78,40,49
Japon,M'gladbach,#1520 Ko Itakura,DC,1520,76,73,45,59,70,77,73
Allemagne,Brentford,#1520 Vitaly Janelt,MC,1520,76,60,70,73,73,73,78
Belgique,UD Las Palmas,#1520 Adnan Januzaj,AD,1520,76,76,69,77,80,30,56
Croatie,Union Berlin,#1520 Josip Juranović,DD,1520,76,83,64,75,74,71,68
Turquie,TSG Hoffenheim,#1520 Ozan Kabak,DC,1520,76,63,37,59,66,74,81
République tchèque,TSG Hoffenheim,#1520 Pavel Kadeřábek,DD,1520,76,67,45,71,71,72,76
Suède,Bologne,#1520 Jesper Karlsson,AG,1520,76,77,74,71,80,35,55
Allemagne,AS Monaco,#1520 Thilo Kehrer,DC,1520,76,71,44,65,65,76,75
Pologne,Arsenal,#1520 Jakub Kiwior,DG,1520,76,69,37,66,63,77,77
Allemagne,Francfort,#1520 Ansgar Knauff,MD,1520,76,91,69,68,76,52,64
France,AS Roma,#1520 Kouadio Manu Koné,MC,1520,76,72,72,73,81,69,75
Côte d'Ivoire,Fiorentina,#1520 Christian Kouamé,BU,1520,76,79,72,68,77,40,70
République tchèque,Leverkusen,#1520 Matěj Kovář,G,1520,76,74,77,78,76,30,78
Danemark,Francfort,#1520 Rasmus Kristensen,DD,1520,76,69,65,67,71,75,77
France,Crystal Palace,#1520 Maxence Lacroix,DC,1520,76,88,41,55,67,76,77
France,FC Nantes,#1520 Alban Lafont,G,1520,76,75,71,69,81,47,76
France,Stade Brestois 29,#1520 Kenny Lala,DD,1520,76,77,62,72,72,73,73
Corée du Sud,1. FSV Mainz 05,#1520 Lee Jae Sung,MOC,1520,76,69,71,72,81,59,61
Brésil,Milano FC,#1520 Emerson Royal,DD,1520,76,70,62,70,73,74,77
France,Atlético Madrid,#1520 Clément Lenglet,DC,1520,76,54,45,69,64,77,74
Angleterre,Manchester City,#1520 Rico Lewis,DD,1520,76,78,54,73,81,71,57
Angleterre,Newcastle Utd,#1520 Sean Longstaff,MC,1520,76,56,68,73,73,73,71
Espagne,FC Barcelona,#1520 Fermín,MC,1520,76,74,73,68,78,62,54
Espagne,Valencia CF,#1520 Diego López,MG,1520,76,79,70,71,75,37,60
Colombie,RC Lens,#1520 Deiver Machado,DG,1520,76,84,69,71,76,70,76
Allemagne,FC Augsburg,#1520 Arne Maier,MC,1520,76,62,62,74,75,69,74
Allemagne,Heidenheim,#1520 Patrick Mainka,DC,1520,76,55,40,51,53,78,81
Pays-Bas,Man Utd,#1520 Tyrell Malacia,DG,1520,76,78,54,67,76,73,73
Algérie,LOSC Lille,#1520 Aïssa Mandi,DC,1520,76,59,46,71,67,77,72
Belgique,Everton,#1520 Orel Mangala,MC,1520,76,69,58,72,82,72,76
Espagne,UD Las Palmas,#1520 Mika Mármol,DC,1520,76,80,38,67,73,76,74
Espagne,Rayo Vallecano,#1520 Óscar Valentín,MDC,1520,76,65,47,65,64,75,76
Angola,OL,#1520 Clinton Mata,DD,1520,76,78,61,68,73,74,77
Pays-Bas,Stade Rennais FC,#1520 Azor Matusiwa,MDC,1520,76,51,49,65,70,74,79
Angleterre,Leicester City,#1520 Stephy Mavididi,AG,1520,76,88,75,69,76,28,74
France,OM,#1520 Quentin Merlin,DG,1520,76,73,59,74,75,73,64
Belgique,LOSC Lille,#1520 Thomas Meunier,DD,1520,76,68,74,72,71,74,82
Colombie,Cagliari,#1520 Yerry Mina,DC,1520,76,32,50,55,56,77,77
Espagne,Bologne,#1520 Miranda,DG,1520,76,84,62,71,74,73,68
Argentine,Sevilla FC,#1520 Gonzalo Montiel,DD,1520,76,80,62,69,74,72,74
Espagne,Côme,#1520 Alberto Moreno,DG,1520,76,79,69,73,76,71,68
Égypte,Ipswich Town,#1520 Sam Morsy,MDC,1520,76,57,61,67,69,72,81
Portugal,Monza,#1520 Dany Mota,BU,1520,76,78,76,66,78,31,63
Bénin,FC Augsburg,#1520 Steve Mounié,BU,1520,76,63,75,64,71,45,79
Zimbabwe,Stade de Reims,#1520 Marshall Munetsi,MC,1520,76,69,69,71,72,73,80
Angleterre,Newcastle Utd,#1520 Jacob Murphy,AD,1520,76,82,70,71,78,61,69
Burundi,OGC Nice,#1520 Youssouf Ndayishimiye,MDC,1520,76,70,49,68,72,76,80
France,OGC Nice,#1520 Tanguy Ndombele,MC,1520,76,62,70,77,83,68,68
Allemagne,M'gladbach,#1520 Florian Neuhaus,MC,1520,76,67,71,74,77,66,69
Sénégal,OL,#1520 Moussa Niakhaté,DC,1520,76,68,42,62,63,76,76
Danemark,Toulouse FC,#1520 Rasmus Nicolaisen,DC,1520,76,49,41,57,60,76,80
Angleterre,Crystal Palace,#1520 Eddie Nketiah,BU,1520,76,79,74,58,78,25,66
Norvège,Sevilla FC,#1520 Ørjan Nyland,G,1520,76,76,75,77,75,47,74
Espagne,Real Sociedad,#1520 Odriozola,DD,1520,76,80,55,69,74,72,65
Nigeria,Southampton,#1520 Paul Ebere Onuachu,BU,1520,76,60,77,59,65,45,82
Turquie,VfL Wolfsburg,#1520 Salih Özcan,MDC,1520,76,71,59,68,74,76,79
Italie,Fiorentina,#1520 Fabiano Parisi,DG,1520,76,77,67,70,77,72,73
Serbie,Milano FC,#1520 Strahinja Pavlović,DC,1520,76,70,43,51,64,75,84
Espagne,Getafe CF,#1520 Carles Pérez,MD,1520,76,80,74,70,80,37,63
Espagne,Girona FC,#1520 Portu,MD,1520,76,82,77,73,76,56,76
Espagne,Athletic Club,#1520 Beñat Prados,MC,1520,76,70,62,74,76,75,76
Allemagne,TSG Hoffenheim,#1520 Grischa Prömel,MC,1520,76,64,73,70,73,75,80
Espagne,RCD Majorque,#1520 Raíllo,DC,1520,76,41,36,55,55,78,77
Espagne,Côme,#1520 Pepe Reina,G,1520,76,75,75,77,74,45,77
Brésil,Villarreal CF,#1520 Luiz Júnior,G,1520,76,76,75,69,77,30,76
Italie,Bergamo Calcio,#1520 Mateo Retegui,BU,1520,76,72,76,64,70,35,77
États-Unis,Crystal Palace,#1520 Chris Richards,DC,1520,76,71,27,59,61,76,74
Allemagne,VfL Bochum 1848,#1520 Manuel Riemann,G,1520,76,75,71,80,81,52,76
Brésil,Brentford,#1520 Igor Thiago,BU,1520,76,73,75,54,69,37,86
Brésil,Notting. Forest,#1520 Morato,DC,1520,76,68,37,57,61,76,82
Espagne,Latium,#1520 Pedro,AD,1520,76,64,72,74,84,36,50
Espagne,RCD Majorque,#1520 Dani Rodríguez,MG,1520,76,81,74,75,73,63,69
Brésil,Real Betis,#1520 Vitor Roque,BU,1520,76,85,79,59,80,20,64
Espagne,Real Betis,#1520 Aitor Ruibal,DD,1520,76,84,74,70,75,72,68
Espagne,Girona FC,#1520 Abel Ruiz,BU,1520,76,77,76,70,76,39,71
Ghana,AS Monaco,#1520 Mohammed Salisu,DC,1520,76,63,36,50,54,77,79
France,OGC Nice,#1520 Morgan Sanson,MC,1520,76,65,73,77,76,70,74
Brésil,Notting. Forest,#1520 Danilo,MDC,1520,76,68,63,69,73,73,70
Sénégal,Crystal Palace,#1520 Ismaïla Sarr,AD,1520,76,91,76,66,79,22,68
Ghana,AFC Bournemouth,#1520 Antoine Semenyo,MD,1520,76,85,72,67,77,27,75
Brésil,Francfort,#1520 Tuta,DC,1520,76,70,49,64,71,76,76
Nigeria,FC Nantes,#1520 Moses Simon,MG,1520,76,89,69,70,80,33,61
Italie,Fiorentina,#1520 Riccardo Sottil,AG,1520,76,88,66,69,77,34,48
Brésil,Côme,#1520 Gabriel Strefezza,AD,1520,76,87,66,73,77,31,49
Uruguay,Girona FC,#1520 Cristhian Stuani,BU,1520,76,66,79,69,70,48,84
Espagne,UD Las Palmas,#1520 Alex Suárez,DC,1520,76,75,36,62,63,76,77
Pays-Bas,West Ham,#1520 Crysencio Summerville,MG,1520,76,91,71,67,79,35,60
France,Torino,#1520 Adrien Tameze,DC,1520,76,77,66,68,77,76,77
